marca,tipo_carroceria,año,kilometraje,tipo_combustible,transmision,cilindrada,potencia,peso,consumo,color,edad_propietarios,calificacion_estado,region_venta,precio
Audi,SUV,2023,400000,Híbrido,Automática,2184,112,1387,3.887085494734785,Negro,1,9.930448443443012,Este,42200.0
Hyundai,Hatchback,2023,400000,Híbrido,Automática,2296,134,1549,3.3978745863867212,Blanco,4,4.821663237613041,Norte,6500.0
Honda,SUV,2023,400000,Diesel,Manual,2068,88,1439,9.556576777314184,Azul,1,9.527125314116867,Oeste,18200.0
Toyota,SUV,2018,400000,Diesel,Automática,2072,110,1000,9.49332496356397,Amarillo,2,8.437101903693698,Este,8000.0
Kia,Hatchback,2013,400000,Gasolina,Automática,1241,80,1527,8.716397419304212,Azul,1,8.074299184436391,Norte,1500.0
Mazda,Hatchback,2010,400000,Eléctrico,Automática,2292,92,1489,0.0,Negro,1,9.937056341398456,Norte,1800.0
Hyundai,Sedán,2019,400000,Gasolina,Automática,2287,128,1305,6.477912719302729,Verde,1,9.271420378443825,Centro,6500.0
Hyundai,Sedán,2013,400000,Gasolina,Manual,2177,128,1440,8.945376594658047,Gris,1,8.954726844529162,Oeste,2300.0
Toyota,SUV,2022,400000,Gasolina,Automática,2189,123,1000,6.160362061797999,Gris,1,3.3753970499986936,Oeste,5900.0
Ford,SUV,2024,1000,Gasolina,Automática,2380,107,1741,6.3244274933378,Negro,2,5.656120352021637,Sur,17000.0
Toyota,Sedán,2017,400000,Eléctrico,Automática,2230,144,1412,0.0,Negro,2,5.354107437311969,Centro,4800.0
Kia,Hatchback,2023,400000,Gasolina,Automática,2043,117,1253,9.667385832605182,Plata,1,3.4803253110707617,Este,3600.0
Nissan,Sedán,2017,400000,Gasolina,Automática,2165,118,1754,9.103374003854265,Blanco,2,3.810355521849848,Sur,2100.0
Ford,Hatchback,2019,400000,Diesel,Manual,2615,144,1074,5.777639925630145,Negro,2,7.7928426916868645,Oeste,5500.0
Toyota,Pickup,2024,1000,Gasolina,Automática,2733,145,1295,5.883503177171923,Blanco,3,8.663521771493038,Norte,30000.0
Ford,Sedán,2019,400000,Gasolina,Manual,1508,80,1654,12.164993790454474,Azul,1,7.315867403457666,Centro,5300.0
Ford,Hatchback,2011,400000,Diesel,Automática,1803,97,1208,10.963985507171882,Rojo,1,8.463938018022628,Oeste,1600.0
Hyundai,Minivan,2019,400000,Diesel,Manual,2476,133,1275,5.617509922922781,Gris,1,7.218662628460801,Oeste,5400.0
Nissan,Sedán,2013,400000,Gasolina,Manual,2279,115,1417,9.312236166927411,Negro,1,8.000301646665335,Centro,2100.0
BMW,Coupé,2016,400000,Diesel,Automática,1681,80,1522,2.9977848984678728,Amarillo,1,8.066881673903724,Oeste,9000.0
Chevrolet,Hatchback,2017,400000,Gasolina,Automática,2031,104,1402,6.518944791398645,Rojo,1,8.671853820693988,Sur,3900.0
Toyota,Hatchback,2010,400000,Gasolina,Automática,2393,134,1459,4.551865881839108,Gris,1,5.182933330284101,Centro,800.0
Mazda,Sedán,2017,400000,Gasolina,Automática,2959,147,1421,6.095853764568978,Plata,2,8.531155859440464,Oeste,5300.0
Hyundai,Hatchback,2010,400000,Gasolina,Automática,3176,175,1392,8.329945448975275,Gris,2,6.50235279106608,Oeste,800.0
Nissan,SUV,2015,400000,Diesel,Automática,1091,80,1377,8.96657141755797,Negro,4,9.732925851337521,Centro,4500.0
Hyundai,Hatchback,2014,400000,Diesel,Automática,2425,120,1376,6.464414806589726,Amarillo,3,4.15213785314216,Norte,1100.0
Chevrolet,Pickup,2019,400000,Gasolina,Automática,1687,80,1356,10.24042024922569,Rojo,1,9.908616254198774,Este,9000.0
Chevrolet,SUV,2024,1000,Gasolina,Automática,2576,135,1005,7.765407675635334,Rojo,1,3.6408884729845084,Centro,10200.0
Chevrolet,Sedán,2016,400000,Diesel,Automática,1314,80,1771,10.095496914583697,Amarillo,1,7.187340746658268,Norte,3300.0
Toyota,Sedán,2015,400000,Gasolina,Automática,1658,84,1158,5.961508547766045,Rojo,2,7.776308293210451,Oeste,3200.0
Toyota,Sedán,2019,400000,Gasolina,Manual,1912,100,1285,3.785158886915733,Gris,1,9.301716933376245,Sur,8300.0
Toyota,Pickup,2023,400000,Eléctrico,Automática,2335,117,1640,0.0,Amarillo,1,8.318793139758245,Oeste,23300.0
Nissan,Sedán,2010,400000,Diesel,Manual,1814,80,1779,5.086446758934928,Blanco,2,3.6687520212913967,Oeste,500.0
Ford,SUV,2024,1000,Eléctrico,Manual,1635,94,1620,0.0,Verde,2,7.318665395128697,Norte,29800.0
Chevrolet,SUV,2015,400000,Gasolina,Manual,1145,81,1522,3.8508636038501827,Blanco,1,7.910311154451101,Centro,3700.0
BMW,Pickup,2022,400000,Diesel,Automática,1667,114,1466,10.623081763428814,Gris,1,4.423866757293906,Este,15500.0
Honda,SUV,2023,400000,Gasolina,Manual,2338,117,1336,11.255573595267586,Negro,2,7.602954924587923,Este,14900.0
Ford,Minivan,2012,400000,Gasolina,Automática,2744,133,1527,9.605382038419956,Gris,2,3.6398480188361955,Centro,1000.0
Hyundai,Hatchback,2021,400000,Gasolina,Automática,1478,80,1621,8.93217736728048,Blanco,1,3.9893800006834734,Centro,2700.0
Honda,Pickup,2024,1000,Gasolina,Automática,1525,83,1606,6.839186227040077,Gris,1,5.532878603892835,Sur,15000.0
Toyota,Sedán,2024,1000,Gasolina,Automática,1631,104,1622,9.101507773771424,Rojo,1,4.37217164624615,Centro,10700.0
Honda,Sedán,2015,400000,Gasolina,Automática,1941,95,1297,7.991131932597947,Amarillo,1,3.0243144155538153,Sur,1200.0
Honda,Sedán,2016,400000,Gasolina,Automática,2096,118,1406,4.762958007054619,Amarillo,3,7.347644531753782,Centro,3500.0
Mercedes-Benz,SUV,2015,400000,Diesel,Automática,1846,80,1029,5.328373690672203,Negro,3,6.239691736614614,Sur,7500.0
Kia,Hatchback,2018,400000,Gasolina,Automática,1209,80,1665,6.924452858279497,Verde,2,4.561310561419192,Centro,1900.0
Nissan,Sedán,2021,400000,Gasolina,Automática,1000,80,1384,8.875556546253703,Negro,2,4.485589494326371,Centro,4100.0
BMW,Sedán,2018,400000,Gasolina,Automática,1753,80,1045,12.652537516404042,Plata,2,7.151688237375099,Este,8900.0
Kia,Hatchback,2017,400000,Gasolina,Manual,2266,101,1451,7.255817660052904,Verde,4,3.752998057394848,Oeste,1400.0
Honda,Sedán,2014,400000,Diesel,Automática,2003,89,1626,6.444980297749307,Gris,3,4.738745839307438,Oeste,1600.0
BMW,SUV,2019,400000,Gasolina,Manual,2841,150,1383,8.33949334028949,Azul,1,3.2873034740188873,Sur,6600.0
Chevrolet,Sedán,2012,400000,Diesel,Manual,1240,80,1495,8.862657497412444,Azul,3,8.362944326930663,Norte,1900.0
Kia,Hatchback,2013,400000,Gasolina,Automática,2051,94,1297,7.877453471886854,Verde,1,9.833505372821875,Este,2000.0
BMW,SUV,2020,400000,Gasolina,Automática,2697,127,1217,9.249638389110835,Verde,5,4.860712117738421,Centro,11000.0
Ford,Hatchback,2019,400000,Híbrido,Automática,1850,80,1486,6.066437697060485,Verde,1,6.251664650978137,Este,4700.0
Toyota,Sedán,2017,400000,Diesel,Automática,1361,80,1232,5.428504257161445,Azul,2,6.060078153902615,Norte,3700.0
Honda,Sedán,2018,400000,Gasolina,Automática,1000,80,1413,7.711070104095079,Rojo,1,6.791657823018757,Este,4500.0
Chevrolet,Pickup,2022,400000,Diesel,Manual,1840,104,1152,10.38270555986404,Amarillo,2,5.6257561193880985,Norte,8100.0
Kia,Hatchback,2017,400000,Gasolina,Automática,1743,112,1375,5.406044936279091,Amarillo,1,3.9256597780875655,Norte,1500.0
Kia,Hatchback,2019,400000,Diesel,Manual,1675,92,1555,7.42220848895606,Azul,2,4.73780615677742,Norte,2500.0
Toyota,Hatchback,2012,400000,Diesel,Manual,2149,92,1139,6.2407076304955265,Gris,2,8.578674352592934,Norte,1800.0
Chevrolet,Sedán,2016,400000,Diesel,Automática,2907,153,1314,10.497786190792581,Amarillo,1,7.186179376480959,Norte,3600.0
Ford,Pickup,2020,400000,Eléctrico,Manual,1313,80,1237,0.0,Plata,2,3.482570348743807,Centro,4800.0
Honda,Pickup,2017,400000,Gasolina,Manual,1519,80,1611,9.354511451530357,Plata,2,4.514676716508637,Este,3100.0
Toyota,Hatchback,2012,400000,Diesel,Automática,1926,97,1401,9.759320213377432,Amarillo,2,5.800723984493075,Oeste,1300.0
Ford,Coupé,2010,400000,Gasolina,Manual,2360,129,1385,10.140714595938173,Gris,3,7.523070001069229,Oeste,1400.0
Mercedes-Benz,Sedán,2016,400000,Gasolina,Manual,1807,101,1362,7.657466458325117,Azul,1,8.494929947170943,Centro,8000.0
Ford,Hatchback,2023,400000,Gasolina,Manual,2291,111,1276,7.1379888150485105,Gris,1,7.08890703535121,Sur,8900.0
Chevrolet,Minivan,2012,400000,Gasolina,Manual,1280,80,1078,8.386904566603295,Verde,2,9.295762271337043,Norte,2400.0
Mazda,SUV,2010,400000,Diesel,Manual,2023,115,1338,11.13549719611032,Amarillo,1,8.635123719610059,Este,2000.0
Ford,Sedán,2016,400000,Gasolina,Automática,1993,82,1585,7.4767135999051435,Amarillo,1,6.335361158639739,Norte,3000.0
Audi,Hatchback,2020,400000,Gasolina,Manual,2784,156,1289,6.3624062331302955,Verde,3,8.103515733570523,Norte,12000.0
Audi,Sedán,2021,400000,Gasolina,Automática,2567,135,1512,10.178685503012003,Gris,1,4.131614498842562,Oeste,9400.0
Honda,Coupé,2023,400000,Gasolina,Manual,2057,80,1109,5.966658325298457,Verde,1,5.434857120619808,Norte,9200.0
Chevrolet,Sedán,2024,1000,Híbrido,Automática,1524,80,1683,5.893183945363137,Blanco,1,3.1493639867421193,Este,8300.0
Ford,Hatchback,2016,400000,Gasolina,Automática,1000,80,1730,8.606932298739949,Plata,1,8.193948021781862,Este,3000.0
Honda,SUV,2013,400000,Diesel,Automática,1557,108,1508,9.644850445415136,Negro,1,9.519771492591723,Oeste,3800.0
Toyota,Sedán,2023,400000,Diesel,Automática,3093,147,1422,4.730894112912468,Azul,2,5.643407685783064,Centro,9300.0
Nissan,Coupé,2011,400000,Diesel,Automática,1093,80,1220,6.393334369455212,Azul,1,5.16178910934106,Oeste,1100.0
Chevrolet,Hatchback,2019,400000,Gasolina,Manual,1543,86,1000,6.789554011340503,Blanco,2,4.8567827355403566,Oeste,2700.0
Toyota,SUV,2023,400000,Híbrido,Automática,2063,112,1502,4.5778375512014255,Rojo,1,3.00011039522224,Norte,7800.0
Honda,Sedán,2014,400000,Gasolina,Automática,2632,128,1630,7.9130890065346335,Negro,5,5.150034502626884,Sur,1700.0
BMW,Hatchback,2020,400000,Híbrido,Manual,1360,80,1364,4.484695432367747,Negro,3,3.1169701099687828,Centro,5300.0
Honda,Pickup,2020,400000,Gasolina,Manual,2232,106,1442,7.381432643040068,Negro,3,6.9277761494381975,Centro,6700.0
Toyota,Hatchback,2018,400000,Gasolina,Manual,1606,84,1204,4.398041560321089,Verde,1,7.7910191484644375,Centro,4600.0
Chevrolet,Hatchback,2015,400000,Gasolina,Automática,1390,80,1478,9.232373126382718,Plata,2,5.5079028407282,Norte,1700.0
Audi,Sedán,2024,1000,Diesel,Manual,1702,80,1603,5.8482613671314345,Rojo,2,5.820104500119564,Oeste,26400.0
Honda,Pickup,2019,400000,Gasolina,Manual,1977,106,1514,9.286390122094005,Blanco,1,5.219096754623095,Norte,4700.0
Mazda,Hatchback,2023,400000,Gasolina,Automática,1365,80,1227,4.493802343408514,Verde,4,4.865262110681837,Este,6800.0
Hyundai,SUV,2021,400000,Gasolina,Automática,2557,129,1296,8.600648610357835,Rojo,1,5.267626886343182,Sur,6400.0
Honda,SUV,2018,400000,Híbrido,Manual,2724,126,1538,4.871823506855672,Azul,3,6.933746889043501,Sur,7400.0
Hyundai,Hatchback,2021,400000,Diesel,Manual,1644,80,1282,8.00598099580886,Blanco,1,6.931273116663496,Norte,5500.0
Ford,Pickup,2010,400000,Gasolina,Automática,2389,95,1757,5.88094923045989,Verde,1,8.150054965195608,Oeste,1600.0
Nissan,Hatchback,2011,400000,Diesel,Automática,1236,80,1861,10.634905715993236,Plata,1,3.934283629047412,Centro,700.0
Nissan,Pickup,2020,400000,Gasolina,Automática,1907,80,1345,7.9883169839049835,Azul,1,9.711991498471521,Este,8400.0
Chevrolet,SUV,2015,400000,Gasolina,Automática,2418,130,1944,5.413743170424771,Rojo,1,6.661173204558505,Este,3300.0
Toyota,Hatchback,2012,400000,Híbrido,Manual,2358,80,1404,6.035898277253019,Negro,1,8.926370496161113,Sur,2200.0
Kia,Pickup,2011,400000,Gasolina,Manual,2072,105,1625,6.053035146402339,Amarillo,1,3.431474262487362,Oeste,600.0
Ford,Sedán,2015,400000,Gasolina,Automática,2599,110,1457,7.413901733108933,Rojo,1,5.527140682008454,Centro,2100.0
Honda,SUV,2016,400000,Gasolina,Automática,1631,92,1411,10.12718471116695,Azul,2,8.09980030623104,Sur,4900.0
Toyota,Hatchback,2013,400000,Gasolina,Automática,2043,126,1131,8.180516076695318,Verde,1,3.67972371866443,Oeste,1000.0
Nissan,Coupé,2022,400000,Gasolina,Automática,2026,106,1361,5.124222575342369,Verde,1,4.176374561284669,Centro,5400.0
Mazda,Sedán,2022,400000,Gasolina,Automática,2210,123,1752,5.2059336097292475,Plata,1,7.023576418045621,Norte,9000.0
Toyota,Sedán,2019,400000,Gasolina,Manual,2302,122,1508,6.283073674126469,Plata,2,6.420271129897021,Oeste,5400.0
Chevrolet,Sedán,2024,1000,Gasolina,Manual,1352,80,1409,8.285705948485104,Plata,1,5.773613193725263,Este,10800.0
Honda,SUV,2018,400000,Gasolina,Manual,2341,128,1393,8.283335984154224,Blanco,4,4.154907928153666,Oeste,3600.0
Mazda,Sedán,2020,400000,Gasolina,Manual,1397,80,1522,11.630383454882992,Amarillo,1,3.08041927267646,Oeste,2600.0
Honda,Hatchback,2021,400000,Gasolina,Manual,2460,130,1404,5.150848551253376,Rojo,3,3.0419936101015836,Oeste,2700.0
Mazda,Coupé,2022,400000,Diesel,Automática,2875,145,1495,9.955513022151553,Negro,2,7.269542450859008,Centro,11600.0
Ford,Hatchback,2012,400000,Gasolina,Manual,1749,80,1375,10.097350711316997,Verde,3,6.001918231016511,Centro,1100.0
Mercedes-Benz,Sedán,2011,400000,Diesel,Manual,1530,80,1358,10.430147727914575,Negro,1,8.479243034274605,Norte,3900.0
Toyota,Pickup,2020,400000,Diesel,Manual,2831,158,1197,5.478029239845975,Gris,1,5.377081262116858,Norte,7000.0
Ford,Hatchback,2023,400000,Diesel,Automática,1966,86,1757,7.289562495686481,Plata,1,3.00041688175743,Centro,3900.0
Toyota,Sedán,2014,400000,Gasolina,Automática,1327,80,1194,8.153925100138464,Azul,3,6.558083430798607,Centro,2300.0
Mercedes-Benz,SUV,2024,1000,Gasolina,Automática,1540,80,1459,7.251005064190762,Negro,1,6.141844011063947,Sur,38600.0
BMW,Pickup,2021,400000,Gasolina,Automática,1567,80,1309,8.506123137140559,Plata,1,4.369107382507793,Oeste,9600.0
Honda,Hatchback,2018,400000,Diesel,Automática,2602,141,1292,7.875692143228121,Negro,1,9.964740051242064,Oeste,6500.0
Mazda,Hatchback,2010,400000,Gasolina,Manual,1494,80,1315,10.480882326528814,Rojo,1,3.7951615130194556,Este,500.0
Kia,Sedán,2015,400000,Diesel,Manual,1000,80,1277,9.68550406902762,Gris,1,5.69757803758878,Centro,1800.0
Nissan,Pickup,2017,400000,Híbrido,Manual,1974,92,1466,3.0061446402068137,Plata,1,6.701438805836912,Centro,4500.0
Chevrolet,SUV,2016,400000,Gasolina,Automática,2147,117,1563,8.298840841190835,Blanco,4,5.398552692718788,Norte,3500.0
Honda,Pickup,2015,400000,Gasolina,Manual,2285,108,1535,5.422879850817902,Blanco,1,5.5334030224198045,Norte,2900.0
Toyota,Hatchback,2012,400000,Diesel,Manual,1000,80,1039,4.767363279748172,Amarillo,1,9.296693800728285,Oeste,2100.0
BMW,Sedán,2018,400000,Gasolina,Automática,1907,117,1605,7.875468163076019,Negro,2,5.857270734072675,Oeste,7300.0
BMW,Sedán,2014,400000,Gasolina,Automática,1784,86,1538,5.619314744377386,Verde,1,6.204600716322297,Centro,4000.0
Nissan,Sedán,2024,1000,Híbrido,Automática,2209,99,1281,6.40128886141838,Rojo,2,6.483028711794191,Oeste,16900.0
Ford,Sedán,2021,400000,Gasolina,Manual,1006,80,1541,7.310508483965694,Azul,1,7.199341145352431,Centro,7100.0
Ford,Sedán,2010,400000,Híbrido,Automática,2075,117,1606,6.596122185190013,Amarillo,1,5.63016992790145,Este,1300.0
Hyundai,Hatchback,2018,400000,Diesel,Automática,2090,122,1338,8.78894008240582,Amarillo,1,9.517728235124725,Este,4500.0
BMW,Hatchback,2019,400000,Diesel,Manual,2567,150,1262,7.6618358897184615,Verde,1,3.5588053603332224,Sur,4300.0
BMW,Hatchback,2018,400000,Gasolina,Automática,2176,102,1721,7.312883959986275,Plata,2,4.687599040810291,Norte,5500.0
Hyundai,Hatchback,2010,400000,Gasolina,Automática,2347,115,1764,5.318092912790636,Gris,2,9.721970404873076,Sur,1400.0
Mazda,Pickup,2022,400000,Gasolina,Manual,1381,80,1567,4.287097455977028,Amarillo,2,4.685598252408897,Este,6400.0
Toyota,Coupé,2016,400000,Gasolina,Manual,1946,80,1648,7.341502767272296,Amarillo,1,8.998468754938996,Oeste,5200.0
Honda,Sedán,2018,400000,Gasolina,Automática,2650,136,1430,8.538562607642913,Rojo,2,7.9179978865718414,Norte,5800.0
BMW,Hatchback,2011,400000,Gasolina,Manual,1750,85,1614,9.646180231467298,Negro,1,8.729282545480734,Norte,2900.0
Nissan,Sedán,2019,400000,Gasolina,Automática,2386,144,1000,10.150451067057618,Rojo,1,7.686692248588234,Sur,5900.0
Toyota,Sedán,2015,400000,Gasolina,Manual,1515,80,1542,5.049046914624604,Gris,2,5.91604739335566,Norte,2300.0
Toyota,Hatchback,2019,400000,Diesel,Automática,1882,93,1537,8.791041530159717,Rojo,3,9.851134829619516,Este,7000.0
Mazda,SUV,2010,400000,Gasolina,Automática,1188,85,1538,7.163352764427221,Plata,1,3.0512200557220255,Oeste,600.0
Toyota,Pickup,2023,400000,Gasolina,Automática,1954,87,1491,11.721460802818681,Amarillo,1,6.845156082639713,Sur,13500.0
Honda,SUV,2012,400000,Diesel,Manual,1576,81,1492,12.482673073258578,Negro,1,5.373835296429104,Oeste,1800.0
Nissan,Sedán,2020,400000,Eléctrico,Manual,2569,138,1293,0.0,Gris,1,7.00454496108342,Sur,8000.0
